id,name,rgb,is_trans
-1,[Unknown],0033B2,FALSE
0,Black,05131D,FALSE
1,Blue,0055BF,FALSE
2,Green,237841,FALSE
3,Dark Turquoise,008F9B,FALSE
4,Red,C91A09,FALSE
5,Dark Pink,C870A0,FALSE
6,Brown,583927,FALSE
7,Light Gray,9BA19D,FALSE
8,Dark Gray,6D6E5C,FALSE
9,Light Blue,B4D2E3,FALSE
10,Bright Green,4B9F4A,FALSE
11,Light Turquoise,55A5AF,FALSE
12,Salmon,F2705E,FALSE
13,Pink,FC97AC,FALSE
14,Yellow,F2CD37,FALSE
15,White,FFFFFF,FALSE
17,Light Green,C2DAB8,FALSE
18,Light Yellow,FBE696,FALSE
19,Tan,E4CD9E,FALSE
20,Light Violet,C9CAE2,FALSE
21,Glow In Dark Opaque,D4D5C9,FALSE
22,Purple,81007B,FALSE
23,Dark Blue-Violet,2032B0,FALSE
25,Orange,FE8A18,FALSE
26,Magenta,923978,FALSE
27,Lime,BBE90B,FALSE
28,Dark Tan,958A73,FALSE
29,Bright Pink,E4ADC8,FALSE
30,Medium Lavender,AC78BA,FALSE
31,Lavender,E1D5ED,FALSE
32,Trans-Black IR Lens,635F52,TRUE
33,Trans-Dark Blue,0020A0,TRUE
34,Trans-Green,84B68D,TRUE
35,Trans-Bright Green,D9E4A7,TRUE
36,Trans-Red,C91A09,TRUE
40,Trans-Brown,635F52,TRUE
41,Trans-Light Blue,AEEFEC,TRUE
42,Trans-Neon Green,F8F184,TRUE
43,Trans-Very Lt Blue,C1DFF0,TRUE
45,Trans-Dark Pink,DF6695,TRUE
46,Trans-Yellow,F5CD2F,TRUE
47,Trans-Clear,FCFCFC,TRUE
52,Trans-Purple,A5A5CB,TRUE
54,Trans-Neon Yellow,DAB000,TRUE
57,Trans-Neon Orange,FF800D,TRUE
60,Chrome Antique Brass,645A4C,FALSE
61,Chrome Blue,6C96BF,FALSE
62,Chrome Green,3CB371,FALSE
63,Chrome Pink,AA4D8E,FALSE
64,Chrome Black,1B2A34,FALSE
68,Very Light Orange,F3CF9B,FALSE
69,Light Purple,CD6298,FALSE
70,Reddish Brown,582A12,FALSE
71,Light Bluish Gray,A0A5A9,FALSE
72,Dark Bluish Gray,6C6E68,FALSE
73,Medium Blue,5A93DB,FALSE
74,Medium Green,73DCA1,FALSE
75,Speckle Black-Copper,05131D,FALSE
76,Speckle DBGray-Silver,6C6E68,FALSE
77,Light Pink,FECCCF,FALSE
78,Light Nougat,F6D7B3,FALSE
79,Milky White,FFFFFF,FALSE
80,Metallic Silver,A5A9B4,FALSE
81,Metallic Green,899B5F,FALSE
82,Metallic Gold,DBAC34,FALSE
84,Medium Nougat,AA7D55,FALSE
85,Dark Purple,3F3691,FALSE
86,Light Brown,7C503A,FALSE
89,Royal Blue,4C61DB,FALSE
92,Nougat,D09168,FALSE
100,Light Salmon,FEBABD,FALSE
110,Violet,4354A3,FALSE
112,Medium Bluish Violet,6874CA,FALSE
114,Glitter Trans-Dark Pink,DF6695,TRUE
115,Medium Lime,C7D23C,FALSE
117,Glitter Trans-Clear,FFFFFF,TRUE
118,Aqua,B3D7D1,FALSE
120,Light Lime,D9E4A7,FALSE
125,Light Orange,F9BA61,FALSE
129,Glitter Trans-Purple,A5A5CB,TRUE
132,Speckle Black-Silver,05131D,FALSE
133,Speckle Black-Gold,05131D,FALSE
134,Copper,AE7A59,FALSE
135,Pearl Light Gray,9CA3A8,FALSE
137,Pearl Sand Blue,7988A1,FALSE
142,Pearl Light Gold,DCBC81,FALSE
143,Trans-Medium Blue,CFE2F7,TRUE
148,Pearl Dark Gray,575857,FALSE
150,Pearl Very Light Gray,ABADAC,FALSE
151,Very Light Bluish Gray,E6E3E0,FALSE
158,Yellowish Green,DFEEA5,FALSE
178,Flat Dark Gold,B48455,FALSE
179,Flat Silver,898788,FALSE
182,Trans-Orange,F08F1C,TRUE
183,Pearl White,F2F3F2,FALSE
191,Bright Light Orange,F8BB3D,FALSE
212,Bright Light Blue,9FC3E9,FALSE
216,Rust,B31004,FALSE
226,Bright Light Yellow,FFF03A,FALSE
230,Trans-Pink,E4ADC8,TRUE
232,Sky Blue,7DBFDD,FALSE
236,Trans-Light Purple,96709F,TRUE
272,Dark Blue,0A3463,FALSE
288,Dark Green,184632,FALSE
294,Glow In Dark Trans,BDC6AD,TRUE
297,Pearl Gold,AA7F2E,FALSE
308,Dark Brown,352100,FALSE
313,Maersk Blue,3592C3,FALSE
320,Dark Red,720E0F,FALSE
321,Dark Azure,078BC9,FALSE
322,Medium Azure,36AEBF,FALSE
323,Light Aqua,ADC3C0,FALSE
326,Olive Green,9B9A5A,FALSE
334,Chrome Gold,BBA53D,FALSE
335,Sand Red,D67572,FALSE
351,Medium Dark Pink,F785B1,FALSE
366,Earth Orange,FA9C1C,FALSE
373,Sand Purple,845E84,FALSE
378,Sand Green,A0BCAC,FALSE
379,Sand Blue,6074A1,FALSE
383,Chrome Silver,E0E0E0,FALSE
450,Fabuland Brown,B67B50,FALSE
462,Medium Orange,FFA70B,FALSE
484,Dark Orange,A95500,FALSE
503,Very Light Gray,E6E3DA,FALSE
1000,Glow in Dark White,D9D9D9,FALSE
1001,Medium Violet,9391E4,FALSE
1002,Glitter Trans-Neon Green,C0F500,TRUE
1003,Glitter Trans-Light Blue,68BCC5,TRUE
1004,Trans-Flame Yellowish Orange,FCB76D,TRUE
1005,Trans-Fire Yellow,FBE890,TRUE
1006,Trans-Light Royal Blue,B4D4F7,TRUE
1007,Reddish Lilac,8E5597,FALSE
1008,Vintage Blue,039CBD,FALSE
1009,Vintage Green,1E601E,FALSE
1010,Vintage Red,CA1F08,FALSE
1011,Vintage Yellow,F3C305,FALSE
1012,Fabuland Orange,EF9121,FALSE
1013,Modulex White,F4F4F4,FALSE
1014,Modulex Light Bluish Gray,AfB5C7,FALSE
1015,Modulex Light Gray,9C9C9C,FALSE
1016,Modulex Charcoal Gray,595D60,FALSE
1017,Modulex Tile Gray,6B5A5A,FALSE
1018,Modulex Black,4D4C52,FALSE
1019,Modulex Tile Brown,330000,FALSE
1020,Modulex Terracotta,5C5030,FALSE
1021,Modulex Brown,907450,FALSE
1022,Modulex Buff,DEC69C,FALSE
1023,Modulex Red,B52C20,FALSE
1024,Modulex Pink Red,F45C40,FALSE
1025,Modulex Orange,F47B30,FALSE
1026,Modulex Light Orange,F7AD63,FALSE
1027,Modulex Light Yellow,FFE371,FALSE
1028,Modulex Ochre Yellow,FED557,FALSE
1029,Modulex Lemon,BDC618,FALSE
1030,Modulex Pastel Green,7DB538,FALSE
1031,Modulex Olive Green,7C9051,FALSE
1032,Modulex Aqua Green,27867E,FALSE
1033,Modulex Teal Blue,467083,FALSE
1034,Modulex Tile Blue,0057A6,FALSE
1035,Modulex Medium Blue,61AFFF,FALSE
1036,Modulex Pastel Blue,68AECE,FALSE
1037,Modulex Violet,BD7D85,FALSE
1038,Modulex Pink,F785B1,FALSE
1039,Modulex Clear,FFFFFF,FALSE
1040,Modulex Foil Dark Gray,595D60,FALSE
1041,Modulex Foil Light Gray,9C9C9C,FALSE
1042,Modulex Foil Dark Green,006400,FALSE
1043,Modulex Foil Light Green,7DB538,FALSE
1044,Modulex Foil Dark Blue,0057A6,FALSE
1045,Modulex Foil Light Blue,68AECE,FALSE
1046,Modulex Foil Violet,4B0082,FALSE
1047,Modulex Foil Red,8B0000,FALSE
1048,Modulex Foil Yellow,FED557,FALSE
1049,Modulex Foil Orange,F7AD63,FALSE
1050,Coral,FF698F,FALSE
1051,Pastel Blue,5AC4DA,FALSE
1052,Glitter Trans-Orange,F08F1C,TRUE
1053,Opal Trans-Light Blue,68BCC5,TRUE
1054,Opal Trans-Dark Pink,CE1D9B,TRUE
1055,Opal Trans-Clear,FCFCFC,TRUE
1056,Opal Trans-Brown,583927,TRUE
1057,Trans-Light Bright Green,C9E788,TRUE
1058,Trans-Light Green,94E5AB,TRUE
1059,Opal Trans-Purple,8320B7,TRUE
1060,Opal Trans-Bright Green,84B68D,TRUE
1061,Opal Trans-Dark Blue,0020A0,TRUE
1062,Vibrant Yellow,EBD800,FALSE
1063,Pearl Copper,B46A00,FALSE
1064,Fabuland Red,FF8014,FALSE
1065,Reddish Gold,AC8247,FALSE
1066,Curry,DD982E,FALSE
1067,Dark Nougat,AD6140,FALSE
1068,Bright Reddish Orange,EE5434,FALSE
1069,Pearl Red,D60026,FALSE
1070,Pearl Blue,0059A3,FALSE
1071,Pearl Green,008E3C,FALSE
1072,Pearl Brown,57392C,FALSE
1073,Pearl Black,0A1327,FALSE
1074,Duplo Blue,009ECE,FALSE
1075,Duplo Medium Blue,3E95B6,FALSE
1076,Duplo Lime,FFF230,FALSE
1077,Fabuland Lime,78FC78,FALSE
1078,Duplo Medium Green,468A5F,FALSE
1079,Duplo Light Green,60BA76,FALSE
1080,Light Tan,F3C988,FALSE
1081,Rust Orange,872B17,FALSE
1082,Clikits Pink,FE78B0,FALSE
1083,Two-tone Copper,945148,FALSE
1084,Two-tone Gold,AB673A,FALSE
1085,Two-tone Silver,737271,FALSE
1086,Pearl Lime,6A7944,FALSE
1087,Duplo Pink,FF879C,FALSE
1088,Medium Brown,755945,FALSE
1089,Warm Tan,CCA373,FALSE
1090,Duplo Turquoise,3FB69E,FALSE
1091,Warm Yellowish Orange,FFCB78,FALSE
1092,Metallic Copper,764D3B,FALSE
1093,Light Lilac,9195CA,FALSE
1094,Trans-Medium Purple,8D73B3,FALSE
1095,Trans-Black,635F52,TRUE
1096,Glitter Trans-Bright Green,D9E4A7,TRUE
1097,Glitter Trans-Medium Purple,8D73B3,TRUE
1098,Glitter Trans-Green,84B68D,TRUE
1099,Glitter Trans-Pink,E4ADC8,TRUE
1100,Clikits Yellow,FFCF0B,FALSE
1101,Duplo Dark Purple,5F27AA,FALSE
1102,Trans-Neon Red,FF0040,TRUE
1103,Pearl Titanium,3E3C39,FALSE
1104,HO Aqua,B3D7D1,FALSE
1105,HO Azure,1591cb,FALSE
1106,HO Blue-gray,354e5a,FALSE
1107,HO Cyan,5b98b3,FALSE
1108,HO Dark Aqua,a7dccf,FALSE
1109,HO Dark Blue,0A3463,FALSE
1110,HO Dark Gray,6D6E5C,FALSE
1111,HO Dark Green,184632,FALSE
1112,HO Dark Lime,b2b955,FALSE
1113,HO Dark Red,631314,FALSE
1114,HO Dark Sand Green,627a62,FALSE
1115,HO Dark Turquoise,10929d,FALSE
1116,HO Earth Orange,bb771b,FALSE
1117,HO Gold,b4a774,FALSE
1118,HO Light Aqua,a3d1c0,FALSE
1119,HO Light Brown,965336,FALSE
1120,HO Light Gold,cdc298,FALSE
1121,HO Light Tan,f9f1c7,FALSE
1122,HO Light Yellow,f5fab7,FALSE
1123,HO Medium Blue,7396c8,FALSE
1124,HO Medium Red,c01111,FALSE
1125,HO Metallic Blue,0d4763,FALSE
1126,HO Metallic Dark Gray,5e5e5e,FALSE
1127,HO Metallic Green,879867,FALSE
1128,HO Metallic Sand Blue,5f7d8c,FALSE
1129,HO Olive Green,9B9A5A,FALSE
1130,HO Rose,d06262,FALSE
1131,HO Sand Blue,6e8aa6,FALSE
1132,HO Sand Green,A0BCAC,FALSE
1133,HO Tan,E4CD9E,FALSE
1134,HO Titanium,616161,FALSE
1135,Metal,A5ADB4,FALSE
1136,Reddish Orange,CA4C0B,FALSE
1137,Sienna Brown,915C3C,FALSE
1138,Umber Brown,5E3F33,FALSE
1139,Opal Trans-Yellow,F5CD2F,TRUE
1140,Neon Orange,EC4612,FALSE
1141,Neon Green,D2FC43,FALSE
1142,Dark Olive Green,5d5c36,FALSE
1143,Glitter Milky White,FFFFFF,FALSE
1144,Chrome Red,CE3021,FALSE
1145,Ochre Yellow,DD9E47,FALSE
1146,Warm Pink,F6B7BF,FALSE
1147,Blue Violet,A3A9FF,FALSE
9999,[No Color/Any Color],05131D,FALSE