part_id,part_name,rank
4073,"1×1 Plate, Round",1
2780,Technic Pin with Friction Ridges Lengthwise and Center Slots,5
6558,"Technic Pin Long with Friction Ridges Lengthwise, 1 Center Slot",16
2412,Tile Special 1 x 2 Grille without Bottom Groove,24
4274,Technic Pin 1/2,35
4032,"2×2 Plate, Round w/ Axle",36
43093,Technic Axle Pin with Friction Ridges Lengthwise,38
3040,2×1 Slope 45°,42
32062,Technic Axle 2 Notched,48
4085,Plate Special 1 x 1 with Clip Vertical [Thin Open O Clip],63
32123,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,73
18654,Technic Pin Connector Round 1L [Beam],76
32054,"Technic Pin Long with Friction Ridges Lengthwise and Stop Bush [3 Lateral Holes, Big Pin Hole]",80
4519,Technic Axle 3,82
59443,Technic Axle Connector,87
11214,Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle,95
3713,Technic Bush,98
87994,Bar 3L,100
32064,"1×2 Technic Brick, 1 Axle Hole",109
3673,Technic Pin without Friction Ridges Lengthwise,115
48729,Bar 1L with Clip [Cut Edges and One Side Hole],117
62462,Technic Pin Connector Round [Slotted],120
30374,Bar 4L (Lightsaber Blade / Wand),123
15100,Technic Pin Connector Hub with 1 Pin with Friction Ridges Lengthwise,126
23443,Bar Holder with Hole and Bar Handle,132
11090,Bar Holder with Clip,133
6536,Technic Axle and Pin Connector Perpendicular,139
4865,Panel 1 x 2 x 1 [Square Corners],146
60470,Plate Special 1 x 2 with Clips Horizontal [Open O Clips],147
2429c01,Hinge Plate 1 x 4 Swivel Top / Base – Hollow Clip [Complete Assembly],150
18651,Technic Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle,155
42003,Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,156
30241,"Brick Special 1 x 1 with Clip Vertical [Open O Clip, Hollow Stud]",157
53451,"Animal Body Part, Barb / Claw / Tooth / Talon / Horn, Small",159
32013,Technic Axle and Pin Connector Angled #1,162
3705,Technic Axle 4,168
37762,Equipment Candle Stick,170
32073,Technic Axle 5,171
2454,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,174
64567,Weapon Lightsaber Hilt without Bottom Ring,181
3749,Technic Axle Pin without Friction Ridges Lengthwise,185
63965,Bar 6L with Stop Ring,188
87083,Technic Axle 4 with Stop,198
14696,"Technic Link, Reinforced, with Beveled Edge",200
30413,Panel 1 x 4 x 1 with Rounded Corners [Thin Wall],206
24316,Technic Axle 3 with Stop,216
32184,Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole,220
6628,Technic Pin with Friction Ridges Lengthwise and Towball,221
88323,"Technic Link Tread Wide with Two Pin Holes, Reinforced",223
4460,Slope 75┬░ 2 x 1 x 3 with Open Stud,225
4081,Plate Special 1 x 1 with Clip Light [Thin Ring],234
22961,Technic Pin Connector Hub with 1 Axle,236
32556,Technic Pin Long without Friction Ridges,240
33183,"Plant, Carrot Top",244
298c02,Lever Small Base with Black Lever,246
26287,Technic Driving Ring Connector Smooth [4 rounded side walls],247
32034,Technic Axle and Pin Connector Angled #2 – 180┬░,250
3957,Antenna 1 x 4 with Rounded Top,251
32039,Technic Axle Connector with Axle Hole,253
2453,Brick 1 x 1 x 5 with Blocked Open or Hollow Stud,257
32016,Technic Axle and Pin Connector Angled #3 – 157.5┬░,258
32002,Technic Pin 3/4,263
3678,Slope 65┬░ 2 x 2 x 2 with Bottom Tube,271
63869,Technic Axle and Pin Connector Perpendicular Triple,273
15392,"Launcher Trigger, Weapon Gun Trigger",276
32606,"Plant, Flower, Minifig Accessory with 7 Thick Petals and Pin",281
21459,Weapon Sword / Katana / Shamshir with Capped Pommel [Square Guard],284
44294,Technic Axle 7,286
3706,Technic Axle 6,288
4287,Slope Inverted 34┬░ 3 x 1 without Internal Stopper,289
87747,"Animal Body Part, Barb / Claw / Tooth / Talon / Horn, Medium",296
36752a,Equipment Wand [Individual],299
11253,Sports Roller Skate,302
96874,Brick and Axle Separator v2.0,304
30237,Brick Special 1 x 2 with Vertical Clip [Open O Clip],305
78258,Bar 2L with Stop in Center,308
44301,"Hinge Plate 1 x 2 Locking with 1 Finger On End, with Groove",309
553,Brick Round 2 x 2 Dome Top – Blocked Open Stud without Bottom Axle Holder,310
15379,Technic Link Tread with Beveled Edge,313
6589,Technic Gear 12 Tooth Bevel,318
32270,Technic Gear 12 Tooth Double Bevel,325
15462,Technic Axle 5 with Stop,328
3684c,Slope 75┬░ 2 x 2 x 3 [Hollow Studs],329
37775,Wave / Flame Small with Pin,335
4697b,Pneumatic T-Piece (T Bar) [New Style],338
64647,Headwear Accessory Plume / Feather / Flame Triple Point,346
2476,Plate Special 2 x 2 with Pin on Bottom,348
24855,"Plant, Flower Stem with Bottom Pin",352
11609,Star with Stud Holder,353
87082,Technic Pin Connector Hub with 2 Pins with Friction Ridges Lengthwise [Small Squared Pin Holes],356
15706,Plate Special 4 Stud 45┬░ Angle Plate,364
4185,Technic Wedge Belt Wheel [aka Pulley],370
32192,Technic Axle and Pin Connector Angled #4 – 135┬░,371
3899,Equipment Cup / Mug [Plain],374
32474,Technic Ball Joint,377
48989,Technic Pin Connector Hub Perpendicular 3L with 4 Pins,382
37695,"Plant, Stem with 3 Leaves and Bottom Pin",383
32291,Technic Axle and Pin Connector Perpendicular Double,385
6587,Technic Axle 3 with Stud,388
28974,Minifig Neckwear Bracket [One Stud] – Reinforced,390
6126b,Wave / Flame Rounded with Base Rim,392
47455,Technic Rotation Joint Ball Loop with Two Perpendicular Pins with Friction,401
2736,Technic Axle Towball,403
27940,Technic Pin Connector Hub with 2 Axles,404
89522,"Creature Body Part, Horn (Unicorn)",405
59426,Technic Axle 5.5 with Stop [Rounded Short End],410
89678,Technic Pin 1/2 with Friction,413
10197,Technic Pin Connector Hub with 2 Perpendicular Axles,415
69819,Technic Axle and Pin Connector Perpendicular Double Split,430
30166,Minifig Shield Rectangular with 4 Studs,431
33320,"Animal, Frog",432
6553,Technic Axle 1.5 with Perpendicular Axle Connector (Technic Pole Reverser Handle),434
3707,Technic Axle 8,445
15303,"Projectile, Spring Shooter Ammunition 8L",448
94925,Technic Gear 16 Tooth with Round Holes [Old Style],450
44567,"Hinge Plate 1 x 2 Locking with 1 Finger on Side, with Groove",454
24122,Large Figure Weapon Lightsaber Hilt with Axle Hole and Two Bar Holders,457
55013,Technic Axle 8 with Stop,461
11947,"Technic Panel Fairing #22 Very Small Smooth, Side A",462
33078,Food Hot Dog / Sausage,463
11946,"Technic Panel Fairing #21 Very Small Smooth, Side B",464
32015,Technic Axle and Pin Connector Angled #5 – 112.5┬░,466
60849,Equipment Hose Nozzle / Gun with Side String Hole Simplified,467
32014,Technic Axle and Pin Connector Angled #6 – 90┬░,470
99021,Pneumatic Hose Connector with Axle Connector,473
22667,"Plant, Cherries",474
2496,Wheel Skateboard / Trolley,478
99008,Technic Axle 4 with Centre Stop,488
61184,Technic Pin 1/2 with 2L Bar Extension,490
2343,Equipment Goblet / Glass,491
18575,Technic Gear 20 Tooth Double Bevel with Axle Hole Type 1 [+ Opening],496
11208,"Wheel 14mm D. x 9.9mm with Centre Groove, Fake Bolts and 6 Spokes",502
60485,Technic Axle 9,503
13564,"Animal Body Part, Horn (Cattle) / Tentacle / Vine / Branch / Tongue – Long",506
3708,Technic Axle 12,508
22484,Bar 2L with Towball,510
50254,"Train Wheel Small, hole notched for wheels holder pin",515
30031,Handlebars,517
30162,Equipment Binoculars,519
40345,Technic Brick 6 x 8 with Open Center 4 x 6,523
10928,Technic Gear 8 Tooth [Reinforced],527
18853,"Plant, Flower with Pointed Petals and Pin",528
92690,Bar 1L with Top Stud and Two Side Studs,539
2599,Minifig Footwear Flipper [Thick],541
45590,Technic Axle Connector Double Flexible [Rubber],546
19119,"Plant, Flower Stem with Bar and 6 Stems",547
40344,Technic Brick 4 x 6 Open Center,555
99773,Technic Beam Triangle Thin [Type II],558
18041,Weapon Harpoon [Smooth Shaft],561
15461,Technic Pin Connector 3L with 2 Pins and Center Hole,563
61482,Equipment Handcuffs,564
28870,Ornament with Bar,566
4345,Box 2 x 2 x 2 [Solid Studs],567
24375,Rubber Technic Tread Attachment,571
53585,Technic Ball Joint with Through Axle Hole,574
57909,"Technic Brick Modified 2 x 2 with Ball and Axle Hole, with 6 Holes in Ball",575
92907,Technic Axle and Pin Connector Perpendicular Split,580
93160,"Animal Body Part, Dog Bone [Short]",586
92338,Chain 5 links,587
3737,Technic Axle 10,589
6254,Food Ice Cream Scoops,591
98585,"Large Figure Weapon, Barrel with 2 Pin Holes and 3 Axle Holes",594
90540,"Bar 3L, with Handle, Stop Ring and Side Stops (Minifig Ski Pole)",595
19220,"Equipment Radio [Extended Handle, Expanded Speaker Grille]",600
40379,"Animal Body Part / Plant, Tail / Claw / Horn / Branch / Tentacle, End Section",602
x346,Technic Tooth 1 x 3 with Axle Hole [Hollow Underside],605
16770,"Creature Body Part, Barb Large (Claw, Talon) with Clip",606
19807a,Weapon Throwing Star / Shuriken with Smooth Grips,607
4006,Tool Screwdriver and Spanner / Wrench,608
2447,Headwear Accessory Visor For Standard Helmet,611
43892,"Animal Body Part / Plant, Tail / Trunk / Tentacle / Tongue / Vine / Tree Branch (Short Tip)",617
23948,Technic Axle 11,618
38014,Equipment Cup / Teacup,619
24482,Weapon Spear Tip with Fins,621
11618,"Headwear Accessory Bow with Heart, Long Ribbon and Pin",623
2569,Antenna Whip 8H,625
55982,"Wheel 18 x 14 with Axle Hole, Fake Bolts and Shallow Spokes",626
33299,Technic Beam 3 x 0.5 Liftarm with Boss and Pin Semi-Reduced,627
15279,"Plant, Grass Stem with Bar Hole [3.2mm]",628
18946,Technic Gear 16 Tooth with Clutch on Both Sides,632
33172,"Plant, Carrot",636
66909,Weapon Hilt Symmetric,637
32126,Technic Axle and Pin Connector Toggle Joint Smooth,641
64648,"Animal, Fish [Anti-Stud Mouth]",642
93555,Sports Ice Skate,646
2853,Technic Engine Crankshaft,649
32072,Technic Knob Wheel,650
68888,"Technic Axle Connector Hub with 4 Bars at 90┬░, Reinforced Axle Hole",652
27965,"Zipline, 22L with 2 Connectors – Flexible",658
92738,Weapon Gun / Blaster Small (Star Wars),661
3648,Technic Gear 24 Tooth [New Style with Single Axle Hole][Type 2],662
55236,"Plant / Creature Body Part, Vine / Tail / Tentacle / Bionicle Spine, Spiky",665
4218,Garage Roller Door Section without Handle,667
4349,"Equipment Weapon, Loudhailer / Blaster / Space Gun",668
2851,Technic Engine Piston Round,670
87989,Equipment Medical Syringe with 2 Holes,672
87618,Bar 5L with Handle (Friction Ram),674
2850,Technic Engine Cylinder with Side Slots,681
2852,Technic Engine Connecting Rod,686
60169,Chain 16L,687
15391,"Launcher, Weapon Gun / Blaster / Shooter Mini",688
58247,Weapon Gun / Blaster Short (Star Wars),690
44375,Dish 6 x 6 Inverted (Radar) with Hollow Studs,691
98397,Handlebars with Angular Handles,693
3044,Slope 45┬░ 2 x 1 Double without Bottom Pin,695
3049,Slope 45┬░ 2 x 1 Double / Inverted with Bottom Tube,697
40378,"Animal Body Part / Plant, Tail / Neck / Branch / Trunk, Middle Section with Pin",700
37776,Equipment Lantern,701
33085,"Plant, Banana",702
95228,Equipment Bottle,703
4528,Equipment Frying Pan,705
3046,Slope 45┬░ 2 x 2 Double Concave,708
64847,"Animal Body Part, Horn (Cattle)",712
24946,Food Egg with 1.5mm Hole [Plain],713
49731,Technic Pin without Friction Ridges Lengthwise and Foil Connector,716
61903,Technic Universal Joint 3L [Complete Assembly],718
30089,Equipment Camera Handheld with Right-Aligned Viewfinder,719
6192,"Brick Curved 2 x 4 No Studs, Curved Top",728
27393,Wave / Power Blast Rounded Energy with Bar Handle,729
69910,Technic Link Tread 7L Wide with Two Pin Holes,731
65249,Technic Axle Pin 3L with No Friction Ridges and 2L Axle,732
64727,Weapon Spike Flexible 3.5L,733
60583,"Brick Special 1 x 1 x 3 with 2 Clips Vertical [Solid Stud, Thick U Clips]",737
57585,Technic Axle Connector Hub with 3 Axles at 120┬░,745
98139,Weapon Sai,748
2739,Technic Link 1 x 6 without Stoppers,750
36451a,Infinity Stone,751
36017,Weapon Sword Hilt with Dragon Head,757
49283,Wire Clip with Axle Hole,762
4738a,Treasure Chest Bottom with Rear Slots,765
4739,Treasure Chest Lid [Thick Hinge],769
24093,Book Cover [Plain],772
3228,"Vehicle Track, Train, Slotted Rail Straight",774
61408,"Technic Beam 3 x 0.5 Liftarm with Boss and Blocked, Squared Pin Hole",777
3837,Equipment Shovel [Round Stem End],780
33051,"Plant, Apple",782
88704,Equipment Whip – Bent,788
51270,"Plant, Pumpkin",791
3852b,Equipment Hairbrush Short Handle [10mm],797
30340,Equipment Flotation Ring [Life Preserver],801
18920,Equipment Scissors,802
25061,"Vehicle Track, Roller Coaster, Curve",803
6575,Technic Cam,804
85543,Rubber Belt Small [15mm ID] [Round Cross Section],808
90370,Musical Instrument Microphone [Plain],810
10187,Weapon Bladed Claw Spread,812
65098,Technic Pin Double with Axle Hole,815
32557,Technic Pin Connector Perpendicular Long,816
77765,"Technic Pin Long 3l, No Friction Ridges, with Stop and Hole",817
69858,"Plant / Animal Body Part, Tree / Branch / Tail / Appendage / Tentacle with Pin",820
31990,Equipment Oar / Paddle End,821
18948,Technic Driving Ring Connector,823
27256,"Wave / Lightning Angular, Single",826
98721,Weapon Batarang,827
53400,"Vehicle Track, Train, Plastic (RC Trains) Curved",833
32198,Technic Gear 20 Tooth Bevel,837
4522,Tool Hammer / Mallet Large,839
24869,Wheel Roller Coaster,841
95199,Weapon Gun / Pistol Two Barrel,843
69755,"Launcher Trigger, Weapon Gun Trigger",844
98137,"Weapon Sword, Big Blade",846
15745,Rock – Heart Jewel with Shaft,850
87408,Technic Pin Connector Toggle Joint Smooth Double with Axle and Pin Holes,857
87080,"Technic Panel Fairing # 1 Small Smooth Short, Side A",858
34173,Equipment Cutlery – Spoon,860
6239,Tail Shuttle,861
18854,Headwear Accessory Glasses with Pin,864
87407,Technic Gear 20 Tooth Bevel with Pin Hole,866
87086,"Technic Panel Fairing # 2 Small Smooth Short, Side B",874
12885,Equipment Paint Roller Brush Handle Edge On Handle,876
24324,Book Binding with Two Studs,885
49577,"Animal / Plant, Coral / Sea Weed",887
2815,Technic Wedge Belt Wheel Tire,893
64951,Barrel Half Large with Axle Hole,894
92851,Bicycle Wheel with Black Tire,896
29111,"Insect, Spider with Elongated Tail Section",898
6124,Equipment Magic Wand,904
32235,"Axle Hose, Soft 19L",905
44224,Technic Rotation Joint Disk with Pin Hole and 3L Beam Thick,912
30093,"Plant, Sea Grass",913
15362,Large Figure Limb Cover / Claw / Spike Large with Axle Hole,915
30361,Brick Round 2 x 2 x 2 Robot Body – without Bottom Axle Holder,916
35186,Technic Driving Ring Extension 8 Tooth,919
25386,Food Hot Dog Bun,921
30395,Hook with Towball,924
64683,"Technic Panel Fairing # 3 Small Smooth Long, Side A",925
14226c11,String with End Studs 11L Overall,926
64391,"Technic Panel Fairing # 4 Small Smooth Long, Side B",929
76537,Technic Shock Absorber 6.5L with Hard Spring [Complete Assembly],933
32125,Technic Plate Rotor 3 Blade with Smooth Ends and 6 Studs (Propeller),935
61800,"Large Figure Wing, Small",939
6148,"Plant, Palm Leaf Small",941
3464,Wheel Centre Small with Stub Axles (Pulley Wheel),942
42876,Food Turkey Drumstick [Short] – 20 mm Opening,945
72869,Bar Holder with Clip and 90┬░ Angle (Mechanical Leg),946
92585,Tool Crowbar,947
87693,Headwear Accessory Plume / Feather Small with Pin,948
93789,Weapon Pike / Spear Flat End,951
53401,"Vehicle Track, Train, Plastic (RC Trains) Straight",953
18034,Weapon Sword with Thick Crossguard (Roman Gladius),955
32529,Technic Pin Connector Plate with One Hole (Single on Bottom),956
33322,Headwear Accessory Crown / Tiara,959
92220,"Large Figure Weapon Claw, with Clip",960
3943,Cone 4 x 4 x 2 with Axle Hole [Plain],962
24314,"Wheel Wheelchair with Fixed Black Hard Rubber Tire, with Clip Hole",966
57520,Technic Tread Sprocket Wheel Small,968
92842,Propeller 3 Blades 5 Diameter,970
44709,Weapon Gun with Studs on Side,972
4489,"Wheel Wagon Large (33mm D.), hole notched for wheels holder pin",973
2854,Technic Engine Crankshaft Center,974
15445,Weapon Gun Automatic Pistol with Top Clip,975
42446,Minifig Neckwear Bracket [One Stud],978
28588,"Animal, Snake Head with Open Mouth, Fangs and Curved Neck with Bar",980
90202,Technic Pin Connector Round with 4 Clips,981
23986,Equipment Teapot,984
87585,Equipment Oar / Paddle [Reinforced],985
35485,Weapon Chakram / Hoop Blade,986
44225,Technic Rotation Joint Disk with Pin and 3L Beam Thick,987
15460,"Technic Steering Gear with 3 Ball Joints, Compact",989
3836,Equipment Brush / Pushbroom,990
74261,"Large Figure Skeletal, Joint Extender [High Friction]",994
33121,"Animal, Crab",995
29109,Weapon Sword / Machete,996
13608,Weapon Gun Ray / Sci Fi – Rounded Heat Diffusers,998
